"problem","data_file","MiniZinc 2.5.5","Prototype Implementation"
"freepizza","freepizza/pizza39.dzn","105504","81280"
"freepizza","freepizza/pizza78.dzn","110324","89532"
"freepizza","freepizza/pizza27.dzn","92400","70052"
"freepizza","freepizza/pizza6.dzn","16000","9660"
"freepizza","freepizza/pizza45.dzn","63604","47312"
"stack-cuttingstock","stack-cuttingstock/d14.dzn","17872","11200"
"stack-cuttingstock","stack-cuttingstock/d3.dzn","15996","9580"
"stack-cuttingstock","stack-cuttingstock/d8.dzn","18652","12064"
"stack-cuttingstock","stack-cuttingstock/d5.dzn","17940","11052"
"stack-cuttingstock","stack-cuttingstock/d7.dzn","17916","11232"
"depot-placement","depot-placement/ts225_5.dzn","15888","9528"
"depot-placement","depot-placement/u159_4.dzn","15584","9460"
"depot-placement","depot-placement/att48_5.dzn","15728","9796"
"depot-placement","depot-placement/att48_6.dzn","15828","9812"
"depot-placement","depot-placement/ulysses22_5.dzn","15924","9660"
"depot-placement","depot-placement/ulysses16_4.dzn","15556","9516"
"depot-placement","depot-placement/att48_4.dzn","15636","9640"
"depot-placement","depot-placement/ulysses16_6.dzn","15876","9928"
"depot-placement","depot-placement/st70_6.dzn","15972","9932"
"depot-placement","depot-placement/a280_5.dzn","15708","9600"
"depot-placement","depot-placement/rat99_6.dzn","15840","9924"
"depot-placement","depot-placement/ts225_4.dzn","15708","9584"
"depot-placement","depot-placement/st70_5.dzn","15964","9764"
"depot-placement","depot-placement/a280_4.dzn","15624","9644"
"depot-placement","depot-placement/rat99_4.dzn","15788","9412"
"depot-placement","depot-placement/st70_4.dzn","15548","9540"
"depot-placement","depot-placement/u159_6.dzn","15872","10000"
"depot-placement","depot-placement/rat99_5.dzn","15864","9736"
"depot-placement","depot-placement/a280_6.dzn","16084","9748"
"depot-placement","depot-placement/ulysses22_4.dzn","15624","9456"
"depot-placement","depot-placement/u159_5.dzn","15908","9848"
"depot-placement","depot-placement/ulysses16_5.dzn","15616","9728"
"depot-placement","depot-placement/ts225_6.dzn","15892","9888"
"depot-placement","depot-placement/ulysses22_6.dzn","16064","9928"
"triangular","triangular/n10.dzn","16272","9828"
"triangular","triangular/n23.dzn","37848","31368"
"triangular","triangular/n37.dzn","163676","150216"
"triangular","triangular/n29.dzn","73840","63816"
"triangular","triangular/n17.dzn","22748","15932"
"community-detection","community-detection/mexican.s26.k4.dzn","22640","10660"
"community-detection","community-detection/dolphin.s62.k3.dzn","24752","12356"
"community-detection","community-detection/Sampson.s10.k3.dzn","21140","10068"
"community-detection","community-detection/Strike.s6.k5.dzn","21232","10204"
"community-detection","community-detection/Strike.s2.k8.dzn","21804","10312"
"accap","accap/accap_instance9.dzn","181420","199876"
"accap","accap/accap_instance6.dzn","23380","16652"
"accap","accap/accap_instance3.dzn","16792","9772"
"accap","accap/accap_instance8.dzn","165156","194736"
"accap","accap/accap_instance5.dzn","19036","11416"
