problem,data_file,"MiniZinc 2.5.5","Prototype Implementation"
freepizza,freepizza/pizza39.dzn,1441,222
freepizza,freepizza/pizza78.dzn,1565,246
freepizza,freepizza/pizza27.dzn,1260,192
freepizza,freepizza/pizza6.dzn,040,001
freepizza,freepizza/pizza45.dzn,767,111
stack-cuttingstock,stack-cuttingstock/d14.dzn,057,003
stack-cuttingstock,stack-cuttingstock/d3.dzn,042,001
stack-cuttingstock,stack-cuttingstock/d8.dzn,064,004
stack-cuttingstock,stack-cuttingstock/d5.dzn,056,003
stack-cuttingstock,stack-cuttingstock/d7.dzn,056,003
depot-placement,depot-placement/ts225_5.dzn,039,001
depot-placement,depot-placement/u159_4.dzn,038,001
depot-placement,depot-placement/att48_5.dzn,039,001
depot-placement,depot-placement/att48_6.dzn,040,001
depot-placement,depot-placement/ulysses22_5.dzn,039,001
depot-placement,depot-placement/ulysses16_4.dzn,038,001
depot-placement,depot-placement/att48_4.dzn,038,001
depot-placement,depot-placement/ulysses16_6.dzn,041,001
depot-placement,depot-placement/st70_6.dzn,041,001
depot-placement,depot-placement/a280_5.dzn,039,001
depot-placement,depot-placement/rat99_6.dzn,040,001
depot-placement,depot-placement/ts225_4.dzn,038,001
depot-placement,depot-placement/st70_5.dzn,039,001
depot-placement,depot-placement/a280_4.dzn,038,001
depot-placement,depot-placement/rat99_4.dzn,038,001
depot-placement,depot-placement/st70_4.dzn,038,001
depot-placement,depot-placement/u159_6.dzn,040,001
depot-placement,depot-placement/rat99_5.dzn,039,001
depot-placement,depot-placement/a280_6.dzn,040,001
depot-placement,depot-placement/ulysses22_4.dzn,038,001
depot-placement,depot-placement/u159_5.dzn,038,001
depot-placement,depot-placement/ulysses16_5.dzn,039,001
depot-placement,depot-placement/ts225_6.dzn,040,001
depot-placement,depot-placement/ulysses22_6.dzn,040,001
triangular,triangular/n10.dzn,046,003
triangular,triangular/n23.dzn,461,076
triangular,triangular/n37.dzn,3259,625
triangular,triangular/n29.dzn,1214,207
triangular,triangular/n17.dzn,151,020
community-detection,community-detection/mexican.s26.k4.dzn,140,004
community-detection,community-detection/dolphin.s62.k3.dzn,184,009
community-detection,community-detection/Sampson.s10.k3.dzn,129,002
community-detection,community-detection/Strike.s6.k5.dzn,131,002
community-detection,community-detection/Strike.s2.k8.dzn,134,002
accap,accap/accap_instance9.dzn,5893,970
accap,accap/accap_instance6.dzn,193,026
accap,accap/accap_instance3.dzn,049,002
accap,accap/accap_instance8.dzn,5589,949
